k1	b	k3	MAP
1.9	0.6	300	0.639469
1.9	0.6	400	0.639469
1.9	0.6	500	0.639469
1.9	0.6	600	0.639469
1.9	0.6	700	0.639469
1.9	0.6	800	0.639469
1.9	0.65	200	0.648976
1.9	0.65	300	0.648976
1.9	0.65	400	0.648976
1.9	0.65	500	0.648976
1.9	0.65	600	0.648976
1.9	0.65	700	0.648976
1.9	0.65	800	0.648976
1.9	0.7	200	0.651016
1.9	0.7	300	0.651016
1.9	0.7	400	0.651016
1.9	0.7	500	0.651016
1.9	0.7	600	0.651016
1.9	0.7	700	0.651016
1.9	0.7	800	0.651016
1.9	0.75	200	0.649546
1.9	0.75	300	0.649546
1.9	0.75	400	0.649546
1.9	0.75	500	0.649546
1.9	0.75	600	0.649546
1.9	0.75	700	0.649546
1.9	0.75	800	0.649546
1.9	0.8	200	0.651911
1.9	0.8	300	0.651911
1.9	0.8	400	0.651911
1.9	0.8	500	0.651911
1.9	0.8	600	0.651911
1.9	0.8	700	0.651911
1.9	0.8	800	0.651911
1.9	0.85	200	0.655017
1.9	0.85	300	0.655017
1.9	0.85	400	0.655017
1.9	0.85	500	0.655017
1.9	0.85	600	0.655017
1.9	0.85	700	0.655017
1.9	0.85	800	0.655017
1.9	0.9	200	0.655977
1.9	0.9	300	0.655977
1.9	0.9	400	0.655977
1.9	0.9	500	0.655977
1.9	0.9	600	0.655977
1.9	0.9	700	0.655977
1.9	0.9	800	0.655977
1.9	0.95	200	0.652593
1.9	0.95	300	0.652593
1.9	0.95	400	0.652593
1.9	0.95	500	0.652593
1.9	0.95	600	0.652593
1.9	0.95	700	0.652593
1.9	0.95	800	0.652593
1.9	1	200	0.646677
1.9	1	300	0.646677
1.9	1	400	0.646677
1.9	1	500	0.646677
1.9	1	600	0.646677
1.9	1	700	0.646677
1.9	1	800	0.646677
1.9	1.5	200	0.435436
1.9	1.5	300	0.435436
1.9	1.5	400	0.435436
1.9	1.5	500	0.435436
1.9	1.5	600	0.435436
1.9	1.5	700	0.435436
1.9	1.5	800	0.435436
1.9	2	200	0.147989
1.9	2	300	0.147989
1.9	2	400	0.147989
1.9	2	500	0.147989
1.9	2	600	0.147989
1.9	2	700	0.147989
1.9	2	800	0.147989
1.9	3	200	0.0869293
1.9	3	300	0.0869293
1.9	3	400	0.0869293
1.9	3	500	0.0869293
1.9	3	600	0.0869293
1.9	3	700	0.0869293
1.9	3	800	0.0869293
2	0.6	200	0.639689
2	0.6	300	0.639689
2	0.6	400	0.639689
2	0.6	500	0.639689
2	0.6	600	0.639689
2	0.6	700	0.639689
2	0.6	800	0.639689
2	0.65	200	0.64515
2	0.65	300	0.64515
2	0.65	400	0.64515
2	0.65	500	0.64515
2	0.65	600	0.64515
2	0.65	700	0.64515
2	0.65	800	0.64515
2	0.7	200	0.650255
2	0.7	300	0.650255
2	0.7	400	0.650255
2	0.7	500	0.650255
2	0.7	600	0.650255
2	0.7	700	0.650255
2	0.7	800	0.650255
2	0.75	200	0.650119
2	0.75	300	0.650119
2	0.75	400	0.650119
2	0.75	500	0.650119
2	0.75	600	0.650119
2	0.75	700	0.650119
2	0.75	800	0.650119
2	0.8	200	0.651412
2	0.8	300	0.651412
2	0.8	400	0.651412
2	0.8	500	0.651412
2	0.8	600	0.651412
2	0.8	700	0.651412
2	0.8	800	0.651412
2	0.85	200	0.654707
2	0.85	300	0.654707
2	0.85	400	0.654707
2	0.85	500	0.654707
2	0.85	600	0.654707
2	0.85	700	0.654707
2	0.85	800	0.654707
2	0.9	200	0.654762
2	0.9	300	0.654762
2	0.9	400	0.654762
2	0.9	500	0.654762
2	0.9	600	0.654762
2	0.9	700	0.654762
2	0.9	800	0.654762
2	0.95	200	0.652728
2	0.95	300	0.652728
2	0.95	400	0.652728
2	0.95	500	0.652728
2	0.95	600	0.652728
2	0.95	700	0.652728
2	0.95	800	0.652728
2	1	200	0.646742
2	1	300	0.646742
2	1	400	0.646742
2	1	500	0.646742
2	1	600	0.646742
2	1	700	0.646742
2	1	800	0.646742
2	1.5	200	0.43248
2	1.5	300	0.43248
2	1.5	400	0.43248
2	1.5	500	0.43248
2	1.5	600	0.43248
2	1.5	700	0.43248
2	1.5	800	0.43248
2	2	200	0.143382
2	2	300	0.143382
2	2	400	0.143382
2	2	500	0.143382
2	2	600	0.143382
2	2	700	0.143382
2	2	800	0.143382
2	3	200	0.0865114
2	3	300	0.0865114
2	3	400	0.0865114
2	3	500	0.0865114
2	3	600	0.0865114
2	3	700	0.0865114
2	3	800	0.0865114
3	0.6	200	0.631815
3	0.6	300	0.631815
3	0.6	400	0.631815
3	0.6	500	0.631815
3	0.6	600	0.631815
3	0.6	700	0.631815
3	0.6	800	0.631815
3	0.65	200	0.633899
3	0.65	300	0.633899
3	0.65	400	0.633899
3	0.65	500	0.633899
3	0.65	600	0.633899
3	0.65	700	0.633899
3	0.65	800	0.633899
3	0.7	200	0.638317
3	0.7	300	0.638317
3	0.7	400	0.638317
3	0.7	500	0.638317
3	0.7	600	0.638317
3	0.7	700	0.638317
3	0.7	800	0.638317
3	0.75	200	0.637073
3	0.75	300	0.637073
3	0.75	400	0.637073
3	0.75	500	0.637073
3	0.75	600	0.637073
3	0.75	700	0.637073
3	0.75	800	0.637073
3	0.8	200	0.638129
3	0.8	300	0.638129
3	0.8	400	0.638129
3	0.8	500	0.638129
3	0.8	600	0.638129
3	0.8	700	0.638129
3	0.8	800	0.638129
3	0.85	200	0.64292
3	0.85	300	0.64292
3	0.85	400	0.64292
3	0.85	500	0.64292
3	0.85	600	0.64292
3	0.85	700	0.64292
3	0.85	800	0.64292
3	0.9	200	0.642018
3	0.9	300	0.642018
3	0.9	400	0.642018
3	0.9	500	0.642018
3	0.9	600	0.642018
3	0.9	700	0.642018
3	0.9	800	0.642018
3	0.95	200	0.64127
3	0.95	300	0.64127
3	0.95	400	0.64127
3	0.95	500	0.64127
3	0.95	600	0.64127
3	0.95	700	0.64127
3	0.95	800	0.64127
3	1	200	0.636598
3	1	300	0.636598
3	1	400	0.636598
3	1	500	0.636598
3	1	600	0.636598
3	1	700	0.636598
3	1	800	0.636598
3	1.5	200	0.340572
3	1.5	300	0.340572
3	1.5	400	0.340572
3	1.5	500	0.340572
3	1.5	600	0.340572
3	1.5	700	0.340572
3	1.5	800	0.340572
3	2	200	0.118184
3	2	300	0.118184
3	2	400	0.118184
3	2	500	0.118184
3	2	600	0.118184
3	2	700	0.118184
3	2	800	0.118184
3	3	200	0.0879509
3	3	300	0.0879509
3	3	400	0.0879509
3	3	500	0.0879509
3	3	600	0.0879509
3	3	700	0.0879509
3	3	800	0.0879509
4	0.6	200	0.617463
4	0.6	300	0.617463
4	0.6	400	0.617463
4	0.6	500	0.617463
4	0.6	600	0.617463
4	0.6	700	0.617463
4	0.6	800	0.617463
4	0.65	200	0.622263
4	0.65	300	0.622263
4	0.65	400	0.622263
4	0.65	500	0.622263
4	0.65	600	0.622263
4	0.65	700	0.622263
4	0.65	800	0.622263
4	0.7	200	0.623341
4	0.7	300	0.623341
4	0.7	400	0.623341
4	0.7	500	0.623341
4	0.7	600	0.623341
4	0.7	700	0.623341
4	0.7	800	0.623341
4	0.75	200	0.622954
4	0.75	300	0.622954
4	0.75	400	0.622954
4	0.75	500	0.622954
4	0.75	600	0.622954
4	0.75	700	0.622954
4	0.75	800	0.622954
4	0.8	200	0.622027
4	0.8	300	0.622027
4	0.8	400	0.622027
4	0.8	500	0.622027
4	0.8	600	0.622027
4	0.8	700	0.622027
4	0.8	800	0.622027
4	0.85	200	0.626923
4	0.85	300	0.626923
4	0.85	400	0.626923
4	0.85	500	0.626923
4	0.85	600	0.626923
4	0.85	700	0.626923
4	0.85	800	0.626923
4	0.9	200	0.626773
4	0.9	300	0.626773
4	0.9	400	0.626773
4	0.9	500	0.626773
4	0.9	600	0.626773
4	0.9	700	0.626773
4	0.9	800	0.626773
4	0.95	200	0.624212
4	0.95	300	0.624212
4	0.95	400	0.624212
4	0.95	500	0.624212
4	0.95	600	0.624212
4	0.95	700	0.624212
4	0.95	800	0.624212
4	1	200	0.617825
4	1	300	0.617825
4	1	400	0.617825
4	1	500	0.617825
4	1	600	0.617825
4	1	700	0.617825
4	1	800	0.617825
4	1.5	200	0.248611
4	1.5	300	0.248611
4	1.5	400	0.248611
4	1.5	500	0.248611
4	1.5	600	0.248611
4	1.5	700	0.248611
4	1.5	800	0.248611
4	2	200	0.109159
4	2	300	0.109159
4	2	400	0.109159
4	2	500	0.109159
4	2	600	0.109159
4	2	700	0.109159
4	2	800	0.109159
4	3	200	0.0843861
4	3	300	0.0843861
4	3	400	0.0843861
4	3	500	0.0843861
4	3	600	0.0843861
4	3	700	0.0843861
4	3	800	0.0843861
5	0.6	200	0.608151
5	0.6	300	0.608151
5	0.6	400	0.608151
5	0.6	500	0.608151
5	0.6	600	0.608151
5	0.6	700	0.608151
5	0.6	800	0.608151
5	0.65	200	0.609622
5	0.65	300	0.609622
5	0.65	400	0.609622
5	0.65	500	0.609622
5	0.65	600	0.609622
5	0.65	700	0.609622
5	0.65	800	0.609622
5	0.7	200	0.612549
5	0.7	300	0.612549
5	0.7	400	0.612549
5	0.7	500	0.612549
5	0.7	600	0.612549
5	0.7	700	0.612549
5	0.7	800	0.612549
5	0.75	200	0.609148
5	0.75	300	0.609148
5	0.75	400	0.609148
5	0.75	500	0.609148
5	0.75	600	0.609148
5	0.75	700	0.609148
5	0.75	800	0.609148
5	0.8	200	0.606323
5	0.8	300	0.606323
5	0.8	400	0.606323
5	0.8	500	0.606323
5	0.8	600	0.606323
5	0.8	700	0.606323
5	0.8	800	0.606323
5	0.85	200	0.610131
5	0.85	300	0.610131
5	0.85	400	0.610131
5	0.85	500	0.610131
5	0.85	600	0.610131
5	0.85	700	0.610131
5	0.85	800	0.610131
5	0.9	200	0.610621
5	0.9	300	0.610621
5	0.9	400	0.610621
5	0.9	500	0.610621
5	0.9	600	0.610621
5	0.9	700	0.610621
5	0.9	800	0.610621
5	0.95	200	0.608618
5	0.95	300	0.608618
5	0.95	400	0.608618
5	0.95	500	0.608618
5	0.95	600	0.608618
5	0.95	700	0.608618
5	0.95	800	0.608618
5	1	200	0.602445
5	1	300	0.602445
5	1	400	0.602445
5	1	500	0.602445
5	1	600	0.602445
5	1	700	0.602445
5	1	800	0.602445
5	1.5	200	0.235328
5	1.5	300	0.235328
5	1.5	400	0.235328
5	1.5	500	0.235328
5	1.5	600	0.235328
5	1.5	700	0.235328
5	1.5	800	0.235328
5	2	200	0.110279
5	2	300	0.110279
5	2	400	0.110279
5	2	500	0.110279
5	2	600	0.110279
5	2	700	0.110279
5	2	800	0.110279
