s	mu	alpha	lambda	MAP
0.2	1000	0.2	0.5	0.567344
0.2	2000	0.2	0.5	0.583078
0.2	5000	0.2	0.5	0.588074
0.2	10000	0.2	0.5	0.575499
0.25	100	0.2	0.5	0.555656
0.25	500	0.2	0.5	0.573893
0.25	1000	0.2	0.5	0.588475
0.25	2000	0.2	0.5	0.60287
0.25	5000	0.2	0.5	0.600134
0.25	10000	0.2	0.5	0.591159
0.3	100	0.2	0.5	0.570153
0.3	500	0.2	0.5	0.594637
0.3	1000	0.2	0.5	0.60686
0.3	2000	0.2	0.5	0.622227
0.3	5000	0.2	0.5	0.611697
0.3	10000	0.2	0.5	0.599594
0.35	100	0.2	0.5	0.585629
0.35	500	0.2	0.5	0.606281
0.35	1000	0.2	0.5	0.621217
0.35	2000	0.2	0.5	0.631546
0.35	5000	0.2	0.5	0.624018
0.35	10000	0.2	0.5	0.605514
0.4	100	0.2	0.5	0.598148
0.4	500	0.2	0.5	0.619667
0.4	1000	0.2	0.5	0.640956
0.4	2000	0.2	0.5	0.647243
0.4	5000	0.2	0.5	0.63242
0.4	10000	0.2	0.5	0.614779
0.1	100	0.2	0.6	0.477092
0.1	500	0.2	0.6	0.509135
0.1	1000	0.2	0.6	0.53063
0.1	2000	0.2	0.6	0.551543
0.1	5000	0.2	0.6	0.556959
0.1	10000	0.2	0.6	0.547982
0.15	100	0.2	0.6	0.518554
0.15	500	0.2	0.6	0.54287
0.15	1000	0.2	0.6	0.560137
0.15	2000	0.2	0.6	0.576923
0.15	5000	0.2	0.6	0.582085
0.15	10000	0.2	0.6	0.569731
0.2	100	0.2	0.6	0.552796
0.2	500	0.2	0.6	0.571024
0.2	1000	0.2	0.6	0.586268
0.2	2000	0.2	0.6	0.601381
0.2	5000	0.2	0.6	0.599305
0.2	10000	0.2	0.6	0.589525
0.25	100	0.2	0.6	0.569776
0.25	500	0.2	0.6	0.59537
0.25	1000	0.2	0.6	0.608373
0.25	2000	0.2	0.6	0.6247
0.25	5000	0.2	0.6	0.612994
0.25	10000	0.2	0.6	0.601017
0.3	100	0.2	0.6	0.58781
0.3	500	0.2	0.6	0.610179
0.3	1000	0.2	0.6	0.622651
0.3	2000	0.2	0.6	0.635181
0.3	5000	0.2	0.6	0.632477
0.3	10000	0.2	0.6	0.606153
0.35	100	0.2	0.6	0.602157
0.35	500	0.2	0.6	0.629713
0.35	1000	0.2	0.6	0.644361
0.35	2000	0.2	0.6	0.654303
0.35	5000	0.2	0.6	0.633277
0.35	10000	0.2	0.6	0.61664
0.4	100	0.2	0.6	0.613011
0.4	500	0.2	0.6	0.64859
0.4	1000	0.2	0.6	0.658494
0.4	2000	0.2	0.6	0.663213
0.4	5000	0.2	0.6	0.648006
0.4	10000	0.2	0.6	0.630626
0.1	100	0.2	0.7	0.490842
0.1	500	0.2	0.7	0.522748
0.1	1000	0.2	0.7	0.541589
0.1	2000	0.2	0.7	0.562135
0.1	5000	0.2	0.7	0.565438
0.1	10000	0.2	0.7	0.554454
0.15	100	0.2	0.7	0.537186
0.15	500	0.2	0.7	0.558718
0.15	1000	0.2	0.7	0.575193
0.15	2000	0.2	0.7	0.590633
0.15	5000	0.2	0.7	0.592119
0.15	10000	0.2	0.7	0.579342
0.2	100	0.2	0.7	0.56368
0.2	500	0.2	0.7	0.59154
0.2	1000	0.2	0.7	0.605745
0.2	2000	0.2	0.7	0.619658
0.2	5000	0.2	0.7	0.609153
0.2	10000	0.2	0.7	0.597474
