s	mu	alpha	lambda	MAP
0.2	1000	0.3	0.2	0.473325
0.2	2000	0.3	0.2	0.483098
0.2	5000	0.3	0.2	0.480689
0.25	500	0.3	0.2	0.461197
0.25	1000	0.3	0.2	0.48136
0.25	2000	0.3	0.2	0.488892
0.25	5000	0.3	0.2	0.483632
0.3	500	0.3	0.2	0.466198
0.3	1000	0.3	0.2	0.491239
0.3	2000	0.3	0.2	0.495296
0.3	5000	0.3	0.2	0.486548
0.35	500	0.3	0.2	0.471026
0.35	1000	0.3	0.2	0.496253
0.35	2000	0.3	0.2	0.500473
0.35	5000	0.3	0.2	0.490849
0.4	500	0.3	0.2	0.475222
0.4	1000	0.3	0.2	0.501521
0.4	2000	0.3	0.2	0.505595
0.4	5000	0.3	0.2	0.49419
0.1	500	0.3	0.3	0.45149
0.1	1000	0.3	0.3	0.468901
0.1	2000	0.3	0.3	0.478869
0.1	5000	0.3	0.3	0.475085
0.15	500	0.3	0.3	0.460048
0.15	1000	0.3	0.3	0.479692
0.15	2000	0.3	0.3	0.488043
0.15	5000	0.3	0.3	0.483782
0.2	500	0.3	0.3	0.469813
0.2	1000	0.3	0.3	0.495517
0.2	2000	0.3	0.3	0.498357
0.2	5000	0.3	0.3	0.489731
0.25	500	0.3	0.3	0.478744
0.25	1000	0.3	0.3	0.504935
0.25	2000	0.3	0.3	0.50781
0.25	5000	0.3	0.3	0.497396
0.3	500	0.3	0.3	0.490565
0.3	1000	0.3	0.3	0.513661
0.3	2000	0.3	0.3	0.518045
0.3	5000	0.3	0.3	0.504507
0.35	500	0.3	0.3	0.505627
0.35	1000	0.3	0.3	0.525015
0.35	2000	0.3	0.3	0.525561
0.35	5000	0.3	0.3	0.507563
0.4	500	0.3	0.3	0.515064
0.4	1000	0.3	0.3	0.533734
0.4	2000	0.3	0.3	0.534249
0.4	5000	0.3	0.3	0.511217
0.1	500	0.3	0.4	0.45956
0.1	1000	0.3	0.4	0.479414
0.1	2000	0.3	0.4	0.486265
0.1	5000	0.3	0.4	0.484711
0.15	500	0.3	0.4	0.474485
0.15	1000	0.3	0.4	0.501264
0.15	2000	0.3	0.4	0.503992
0.15	5000	0.3	0.4	0.494321
